shift_id,staff_id,role,department,shift_start,shift_end,shift_type
1,960c93c4-72c4-432e-870f-f448f6979f79,nurse,Emergency,2023-10-20 15:00:38,2023-10-20 23:00:38,evening
2,5fa0ec94-c36f-4984-8d93-00aa5302d3aa,nurse,Surgery,2023-12-02 15:00:00,2023-12-02 23:00:00,evening
3,604e6ff4-16eb-48c6-9197-38f6a7d6502b,doctor,Cardiology,2023-08-08 23:00:02,2023-08-09 09:00:02,night
4,547d37d2-e522-48b0-97d4-e856ca0084e4,doctor,ICU,2023-07-09 23:00:40,2023-07-10 09:00:40,night
5,c9bccbac-6084-4067-81b0-400b45641111,nurse,ICU,2023-01-25 15:00:56,2023-01-25 23:00:56,evening
6,9d75216c-2f3c-4965-bf14-269e2e4dde6b,doctor,Pediatrics,2023-12-25 07:00:44,2023-12-25 15:00:44,day
7,5b1f1a2e-3244-49a4-8840-6e44a4c1d506,nurse,Cardiology,2023-03-30 07:00:27,2023-03-30 15:00:27,day
8,547d37d2-e522-48b0-97d4-e856ca0084e4,doctor,Emergency,2023-01-23 15:00:55,2023-01-23 23:00:55,evening
9,46569dd7-08ea-454f-aec6-d377225e8dba,nurse,Emergency,2023-12-23 07:00:01,2023-12-23 15:00:01,day
10,9404248f-5747-4cd9-b6ec-aac60f21e73d,nurse,ICU,2023-06-16 07:00:02,2023-06-16 15:00:02,day
11,76ac7635-1ff0-4184-b0da-ba0b4b222d4b,nurse,Emergency,2023-06-29 07:00:28,2023-06-29 15:00:28,day
12,d6f0bb58-9b3f-4412-a01c-b6988087674d,nurse,Pediatrics,2023-05-26 07:00:32,2023-05-26 15:00:32,day
13,16f4ab5f-349f-4adf-85cf-f5282c1886dd,nurse,Cardiology,2023-01-18 07:00:00,2023-01-18 15:00:00,day
14,8c878043-068b-4461-9e03-bdee777ede46,nurse,Surgery,2023-06-17 15:00:39,2023-06-17 23:00:39,evening
15,f1484f79-eb7c-4741-95c5-ec10b9f6f51a,nurse,Pediatrics,2023-08-31 07:00:33,2023-08-31 15:00:33,day
16,6aeb8a44-1cca-4bdf-ac66-7b48b4cf563d,nurse,ICU,2023-01-19 07:00:44,2023-01-19 15:00:44,day
17,da767762-b15f-44cd-82a7-931fbddc1c06,nurse,Surgery,2023-05-15 07:00:49,2023-05-15 15:00:49,day
18,a5eeba33-ebfd-43f8-b892-6ec453bac41b,doctor,ICU,2023-11-12 07:00:32,2023-11-12 15:00:32,day
19,f949be52-b1e2-4323-8852-c7a60a12af0a,nurse,Emergency,2023-04-22 23:00:19,2023-04-23 09:00:19,night
20,8303e879-eb01-41c0-b223-80e5ba7e25d6,technician,Pediatrics,2023-03-08 07:00:07,2023-03-08 15:00:07,day
21,da767762-b15f-44cd-82a7-931fbddc1c06,nurse,Surgery,2023-05-22 15:00:24,2023-05-22 23:00:24,evening
22,d73c4ac7-12d9-4248-9e88-7fe119a22fa1,nurse,Cardiology,2023-03-10 07:00:17,2023-03-10 15:00:17,day
23,a44a27cd-f49d-4fd3-ae7b-9cce74401a60,nurse,ICU,2023-05-03 15:00:53,2023-05-03 23:00:53,evening
24,5fa0ec94-c36f-4984-8d93-00aa5302d3aa,nurse,ICU,2023-12-24 07:00:40,2023-12-24 15:00:40,day
25,d200c0e5-29fe-41db-a319-ecc67f29fa31,nurse,Surgery,2023-08-27 15:00:06,2023-08-27 23:00:06,evening
26,d75ac37e-3ebe-4076-89e1-1f91be575646,doctor,Emergency,2023-05-11 15:00:53,2023-05-11 23:00:53,evening
27,7e2c1ea2-6c5d-4d04-bb7d-5487b24c62c3,nurse,ICU,2023-12-14 07:00:12,2023-12-14 15:00:12,day
28,49006ee2-6f0e-4e15-9daf-518ee7c17647,nurse,Surgery,2023-06-27 07:00:59,2023-06-27 15:00:59,day
29,3271c743-3547-4952-a235-100707527d0b,nurse,ICU,2023-05-18 07:00:19,2023-05-18 15:00:19,day
30,31ab4ab1-ad53-4ea5-b8ba-2272df19a1be,nurse,Cardiology,2023-01-24 07:00:38,2023-01-24 15:00:38,day
31,6112ef97-81ef-4eea-8339-5c5208ba31f1,doctor,Emergency,2023-09-04 15:00:24,2023-09-04 23:00:24,evening
32,e61cd65f-f50f-4486-928f-4d79ddc59836,nurse,Cardiology,2023-03-04 07:00:41,2023-03-04 15:00:41,day
33,9ba4ee73-0aaf-4962-8909-8e9ab434ceb8,doctor,Emergency,2023-04-27 15:00:50,2023-04-27 23:00:50,evening
34,6112ef97-81ef-4eea-8339-5c5208ba31f1,nurse,Pediatrics,2023-09-13 07:00:12,2023-09-13 15:00:12,day
35,147c81ff-20c0-4d17-8fcd-9ca382e1b405,nurse,Emergency,2023-07-01 07:00:08,2023-07-01 15:00:08,day
36,9c866781-e0f0-4f66-9ee6-6036d111cbb3,nurse,Emergency,2023-12-04 15:00:26,2023-12-04 23:00:26,evening
37,e37d2942-4a22-4712-ba72-30f02350ad98,doctor,Cardiology,2023-05-26 23:00:39,2023-05-27 09:00:39,night
38,85fd46f3-52cd-4273-9a55-b2b894272473,nurse,ICU,2023-03-21 07:00:57,2023-03-21 15:00:57,day
39,5396a2d6-c38b-4217-b25b-7b29aefab79d,doctor,Surgery,2023-06-15 15:00:35,2023-06-15 23:00:35,evening
40,81aeee6e-0ea8-46bc-b338-5ed371218315,nurse,Emergency,2023-05-22 07:00:05,2023-05-22 15:00:05,day
41,79811344-af7d-4ee6-a3fa-1c174f055eed,nurse,Pediatrics,2023-09-30 23:00:56,2023-10-01 09:00:56,night
42,446dabc7-48ca-4eed-a254-bc7fb7b8875e,nurse,Surgery,2023-10-18 07:00:06,2023-10-18 15:00:06,day
43,71b71114-e8e9-4975-b231-cc8001027ce9,technician,Surgery,2023-04-05 15:00:25,2023-04-05 23:00:25,evening
44,22a4c182-7d9a-4854-8dce-3d961f1c264b,nurse,ICU,2023-09-22 15:00:30,2023-09-22 23:00:30,evening
45,7a4147d6-f110-4522-8dd2-aaf50c630a9d,nurse,ICU,2023-12-26 15:00:31,2023-12-26 23:00:31,evening
46,5e6176a0-50dd-46d8-b3f7-9dfb6a5e2cfc,nurse,Surgery,2023-09-29 07:00:38,2023-09-29 15:00:38,day
47,c9a9e6c0-9ef9-4730-a15d-cab9b1d77ef1,nurse,Surgery,2023-04-24 07:00:18,2023-04-24 15:00:18,day
48,fecb32e3-4e98-40b5-bbdb-7b8d135badf4,nurse,Surgery,2023-10-07 15:00:55,2023-10-07 23:00:55,evening
49,49006ee2-6f0e-4e15-9daf-518ee7c17647,doctor,Emergency,2023-05-07 15:00:01,2023-05-07 23:00:01,evening
50,6d12db19-6e85-46c1-b104-cff124ee4875,nurse,Emergency,2023-10-01 07:00:35,2023-10-01 15:00:35,day
51,85ceedd2-29df-4f2e-be9d-d730a8a7edcf,technician,Pediatrics,2023-05-27 23:00:35,2023-05-28 09:00:35,night
52,dc4af85a-9521-439d-8b44-0a722847320b,doctor,Cardiology,2023-05-21 07:00:05,2023-05-21 15:00:05,day
53,6d7cb76f-b694-4703-a666-4b4cfdd6074f,doctor,Cardiology,2023-09-27 07:00:57,2023-09-27 15:00:57,day
